source,citation
Homer_Sylla,"@book{Homer_Sylla, title={A History of Interest Rates}, author={Homer, S. and Sylla, R.E.}, isbn={9780813522883}, lccn={95026210}, url={https://books.google.com.sg/books?id=w3hmC17-em4C}, year={1996}, publisher={Rutgers University Press} }"
IDCM,"@misc{IDCM, author = {{European Central Bank}}, title = {European Central Bank IDCM}, note = {Accessed: 2024-07-19}, url = {https://data.ecb.europa.eu/data/datasets/IDCM/data-information}, year = {2024}, }"
IHD,"@Article{IHD, author={Ellison, Martin and Lee, Sang Seok and O'Rourke, Kevin Hjortshøj}, title={{The Ends of 27 Big Depressions}}, journal={American Economic Review}, year={2024}, volume={114}, number={1}, pages={134-168}, month={January}, doi={10.1257/aer.20221479}, url={https://ideas.repec.org/a/aea/aecrev/v114y2024i1p134-68.html} }"
IMF_FPP,"@article{IMF_FPP, author={Mauro, Paolo and Romeu, Rafael and Binder, Ariel and Zaman, Asad}, title={{A modern history of fiscal prudence and profligacy}}, journal={Journal of Monetary Economics}, year={2015}, volume={76}, number={C}, pages={55-70}, doi={10.1016/j.jmoneco.2015.07}, url={https://ideas.repec.org/a/eee/moneco/v76y2015icp55-70.html} }"
IMF_GDD,"@techreport{IMF_GDD, author = {Mbaye, S. and Moreno-Badia, M. and Chae, K.}, title={{Global Debt Database: Methodology and Sources}}, year={2018}, month={May}, institution={International Monetary Fund}, type={IMF Working Papers}, url={https://ideas.repec.org/p/imf/imfwpa/2018-111.html}, number={2018/111}, doi={}, }"
IMF_GFS,"@misc{IMF_GFS, author = {{International Monetary Fund}}, title = {Government Finance Statistics}, url = {https://data.imf.org/?sk=a0867067-d23c-4ebc-ad23-d3b015045405}, year = {2024}, }"
IMF_HDD,"@TechReport{IMF_HDD, author={{International Monetary Fund}}, title={{A Historical Public Debt Database}}, year={2010}, month={Nov}, institution={International Monetary Fund}, type={IMF Working Papers}, url={https://ideas.repec.org/p/imf/imfwpa/2010-245.html}, number={2010/245}, }"
IMF_IFS,"@misc{IMF_IFS, author = {{International Monetary Fund}}, title = {IMF Data Portal}, howpublished = {\url{https://data.imf.org/}}, note = {Accessed: 2025-09-22}, year = {2025} }"
IMF_MFS,"@misc{IMF_MFS, author = ""{International Monetary Fund}"", title = ""{Monetary and Financial Statistics}"", year = {2024}, }"
IMF_WEO,"@misc{IMF_WEO, author = {{WEO}}, title = {World Economic Outlook Database}, year = {2024}, address = {Washington, D.C.}, url = {https://www.imf.org/en/Publications/WEO}, note = {Accessed: 2024-08-05} }"
IMF_WEO_forecast,"@misc{IMF_WEO_forecast, author = {{WEO}}, title = {World Economic Outlook Database}, year = {2024}, address = {Washington, D.C.}, url = {https://www.imf.org/en/Publications/WEO}, note = {Accessed: 2024-08-05} }"
JO,"@misc{JO, author = {Jones, M. T. and Obstfeld, M.}, title = {Saving, Investment, and Gold}, year = {1997}, url = {https://www.nber.org/research/data/jones-obstfeld-saving-investment-and-gold-data-13-countries}, note = {Accessed: 2024-06-07} }"
JERVEN,"@article{JERVEN, title = {The Fiscal State in Africa: Evidence from a Century of Growth}, volume = {77}, DOI = {10.1017/S0020818322000285}, number = {1}, journal = {International Organization}, author = {Albers, Thilo N.H. and Jerven, Morten and Suesse, Marvin}, year = {2023}, pages = {65--101} }"
JST,"@article{JST, title={Macrofinancial History and the New Business Cycle Facts}, author={Jord{\`a}, {\`O}scar and Schularick, Moritz and Taylor, Alan M}, journal={NBER macroeconomics annual}, volume={31}, number={1}, pages={213--263}, year={2017}, publisher={University of Chicago Press Chicago, IL} }"
LV,"@article{LV, author = {Laeven, L. and Valencia, F.}, title = {Systemic Banking Crises Database}, journal = {IMF Economic Review}, year = {2013}, volume = {61}, number = {2}, pages = {225--270}, month = {jun}, issn = {2041-4161}, doi = {10.1057/imfer.2013.12}, publisher = {Palgrave Macmillan} }"
Maddison,"@techreport{Maddison, author = {Bolt, Jutta and Inklaar, Robert and de Jong, Herman and van Zanden, Jan Luiten}, title = {Rebasing 'Maddison': New Income Comparisons and the Shape of Long-run Economic Development}, institution = {Maddison Project}, year = {2018}, type = {Maddison Project Working Paper}, number = {10}, url = {https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018?lang=en}, note = {Accessed: 2024-04-04} }"
MD,"@article{MD, title={The Budgetary Origins of Fiscal-military Prowess}, author={Cox, Gary W and Dincecco, Mark}, journal={The Journal of Politics}, volume={83}, number={3}, pages={851--866}, year={2021}, url = {https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EVCSCQ}, publisher={The University of Chicago Press Chicago, IL} }"
