source,citation
Horn2024,"@techreport{Horn2024, title = {{Hidden Debt Revelations}}, author = ""Horn, Sebastian and Mihalyi, David and Nickol, Philipp and Sosa-Padilla, César"", institution = ""National Bureau of Economic Research"", type = ""Working Paper"", series = ""Working Paper Series"", number = ""32947"", year = ""2024"", month = ""September"", doi = {10.3386/w32947}, URL = ""http://www.nber.org/papers/w32947"", }"
sna2008,"@manual{sna2008, title = {System of National Accounts 2008}, author = {{UN}}, year = {2009}, organization = {United Nations}, address = {New York}, url = {https://unstats.un.org/unsd/nationalaccount/docs/SNA2008.pdf} }"
eurostat,"@manual{eurostat, title = {Handbook on Residential Property Prices Indices (RPPIs)}, author = {{Eurostat}}, year = {2013}, organization = {Eurostat}, url = {https://ec.europa.eu/eurostat/en/web/products-manuals-and-guidelines/-/KS-RA-12-022} }"
mfsmcg,"@manual{mfsmcg, title = {Monetary and Financial Statistics Manual and Compilation Guide}, author = {{IMF}}, year = {2016}, organization = {International Monetary Fund}, address = {Washington, DC}, url = {https://unstats.un.org/unsd/nationalaccount/docs/mfsmcg.pdf} }"
BARRO2008,"@article{BARRO2008, ISSN = {00072303, 15334465}, URL = {http://www.jstor.org/stable/27561619}, author = {Robert J. Barro and José F. Ursúa}, journal = {Brookings Papers on Economic Activity}, pages = {255--335}, publisher = {Brookings Institution Press}, title = {{Macroeconomic Crises since 1870}}, note = {Accessed: 2024-11-22}, volume = {2008}, year = {2008} }"
Barro2012,"@Article{Barro2012, author={Robert J. Barro and José F. Ursúa}, title={{Rare Macroeconomic Disasters}}, journal={Annual Review of Economics}, year=2012, volume={4}, number={1}, pages={83-109}, month={July}, doi={}, url={https://ideas.repec.org/a/anr/reveco/v4y2012p83-109.html} }"
Jorda2005,"@Article{Jorda2005, author = {{\`{O}}scar Jord{\`{a}}}, title = {{Estimation and Inference of Impulse Responses by Local Projections}}, journal = {{American Economic Review}}, year = {2005}, volume = {95}, number = {1}, pages = {161--182}, month = {March}, owner = {KM}, timestamp = {2015.08.15}, url = {http://ideas.repec.org/a/aea/aecrev/v95y2005i1p161-182.html}, }"
FAO,"@misc{FAO, author = {{FAO}}, title = {FAOSTAT: GDP data}, year = {2024}, note = {Accessed on 29 December 2024}, url = {https://www.fao.org/faostat/}, howpublished = {\url{https://www.fao.org/faostat/}}, license = {CC-BY-4.0} }"
CS2_ESP,"@misc{CS2_ESP, author = {{Banco de España}}, title = {Catálogo de series históricas seleccionadas}, year = {2021}, note = {[dataset]}, url = {https://repositorio.bde.es/handle/123456789/15655}, institution = {Banco de España}, type = {Dataset} }"
CS1_ZAF,"@misc{CS1_ZAF, author = {{South African Reserve Bank}}, title = {Statistics}, year = {2024}, url = {https://www.resbank.co.za/en/home/what-we-do/statistics}, institution = {South African Reserve Bank}, note = {Accessed: 2024-01-07} }"
RR_debt,"@misc{RR_debt, author = {Reinhart, Carmen M. and Rogoff, Kenneth S.}, title = {Debt-to-{GDP} Ratios Dataset}, year = {2010}, url = {https://carmenreinhart.com/debt-to-gdp-ratios}, note = {Historical debt-to-GDP ratios for 70 countries}, institution = {Harvard University} }"
Schmelzing,"@article{Schmelzing, title={Eight centuries of global real interest rates, RG, and the ‘suprasecular’decline, 1311--2018}, author={Schmelzing, Paul}, journal={RG, and the ‘Suprasecular’Decline}, pages={1311--2018}, year={2019} }"
LUND,"@article{LUND, title={Nominal and Real Effective Exchange Rates for Europe, 1870-2016: Some methodological issues}, author={Ljungberg, Jonas}, year={2019} }"
ILO,"@misc{ILO, author = {{International Labour Organization}}, title = {Unemployment Rate - {ILO} Modelled Estimates}, year = {2024}, institution = {International Labour Organization}, url = {https://ilostat.ilo.org/data}, note = {ILOSTAT database, accessed: 2024-01-07} }"
BIT,"@misc{BIT, author = {{Banca d'Italia}}, title = {Historical Exchange Rates Database}, year = {2024}, institution = {Banca d'Italia}, url = {https://tassidicambio.bancaditalia.it/terzevalute-wf-ui-web/converter}, note = {Accessed: 2024-01-16}, type = {Exchange Rate Database} }"
CLIO,"@misc{CLIO, author = {{International Institute of Social History}}, title = {Clio Infra: Repository of Global Inequality Data}, year = {2024}, institution = {International Institute of Social History}, url = {https://clio-infra.eu}, note = {Accessed: 2024-01-16}, type = {Historical Database} }"
CS3_ITA,"@misc{CS3_ITA, author = {{Istituto Nazionale di Statistica}}, title = {Italian National Institute of Statistics Official Website}, year = {2024}, institution = {Istituto Nazionale di Statistica}, url = {https://www.istat.it}, note = {Accessed: 2024-01-16} }"
CS1_SAU,"@misc{CS1_SAU, author = {{Saudi Central Bank}}, title = {Saudi Central Bank Official Website}, year = {2024}, institution = {Saudi Central Bank}, url = {https://www.sama.gov.sa}, note = {Accessed: 2024-01-16} }"
CS1_TUR,"@misc{CS1_TUR, author = {{Central Bank of the Republic of Türkiye}}, title = {Central Bank of the Republic of Türkiye Official Website}, year = {2024}, institution = {Central Bank of the Republic of Türkiye}, url = {https://www.tcmb.gov.tr}, note = {Accessed: 2024-01-16} }"
GMD_estimated,"@techreport{GMD_estimated, title = {{The Global Macro Database: A New International Macroeconomic Dataset}}, author = ""Müller, Karsten and Xu, Chenzi and Lehbib, Mohamed and Chen, Ziliang"", institution = ""National Bureau of Economic Research"", type = ""Working Paper"", series = ""Working Paper Series"", number = ""33714"", year = ""2025"", month = ""April"", doi = {10.3386/w33714}, URL = ""http://www.nber.org/papers/w33714"", abstract = {The Global Macro Database is an open-source, continuously updated dataset of macroeconomic statistics that unifies and extends existing resources. By harmonizing and integrating data from 32 major contemporary sources—including the IMF, World Bank, and OECD—with historical records from 78 additional datasets, we construct comprehensive annual time series for 46 variables across 243 countries. This database covers global macroeconomic trends from the origins of modern data collection to projected estimates for 2030. Using this extensive database, we study the long-run output losses of financial crises and global temperature shocks, two applications in which historical time series are a crucial input. Our findings show that financial crises are associated with statistically detectable contractions in real GDP for five decades into the future, which are considerably larger than previously estimated. Temperature shocks also predict real GDP contractions up to 30 years ahead, especially in emerging economies.}, }"
UN_trade,"@misc{UN_trade, author = {{United Nations Statistics Division}}, title = {{UN Comtrade: Historical Trade Statistics 1900-1960}}, howpublished = {\url{https://unstats.un.org/unsd/trade/data/tables.asp}}, year = {2025} }"
CS2_CAN,"@article{CS2_CAN, title={A large canadian database for macroeconomic analysis}, author={Fortin-Gagnon, Olivier and Leroux, Maxime and Stevanovic, Dalibor and Surprenant, St{\'e}phane}, journal={Canadian Journal of Economics/Revue canadienne d'{\'e}conomique}, volume={55}, number={4}, pages={1799--1833}, year={2022}, publisher={Wiley Online Library} }"
CS1_IRL,"@article{CS1_IRL, author = {Rebecca Stuart}, title = {70 years of personal disposable income and consumption in Ireland}, journal = {Journal of the Statistical and Social Inquiry Society of Ireland}, year = {2017}, volume = {46}, pages = {47--70} }"
CS2_KOR,"@book{CS2_KOR, title={Historical statistics of Korea}, author={Cha, Myung Soo and Kim, Nak Nyeon and Park, Ki-Joo and Park, Yitaek}, year={2022}, publisher={Springer} }"
CS2_PRK,"@book{CS2_PRK, title={Historical statistics of Korea}, author={Cha, Myung Soo and Kim, Nak Nyeon and Park, Ki-Joo and Park, Yitaek}, year={2022}, publisher={Springer} }"
CS2_TWN,"@misc{CS2_TWN, author = {{Taiwan Statistical Office}}, title = {{Macroeconomic Data}}, howpublished = {\url{https://eng.stat.gov.tw/Default.aspx}}, year = {2025} }"
CS3_ARG,"@article{CS3_ARG, title={Dos siglos de econom{\'\i}a argentina}, author={Ferreres, Orlando J and others}, year={2005}, publisher={Buenos Aires: Fundaci{\'o}n norte y sur,} }"
CS3_FRA,"@article{CS3_FRA, title={Agr{\'e}gats mon{\'e}taires sur longue p{\'e}riode en France, 1876-1990}, author={Ngakegni, Antoine}, journal={Journal de la Soci{\'e}t{\'e} de statistique de Paris}, volume={132}, number={3}, pages={19--60}, year={1991} }"
OECD_HPI,"@misc{OECD_HPI, author = {{OECD}}, title = {Housing prices}, howpublished = {\url{https://www.oecd.org/en/data/indicators/housing-prices.html}}, note = {Accessed: 2025-09-28}, year = {2025} }"
