ISO3,countryname,year,HPI,BIS,DALLASFED,EUS,JST,OECD,CS1,CS2,chainlinking_ratio,source,source_change
AUS,Australia,1889,.29180717,,,,.2595436715875374,,,,1.1243086,JST,
AUS,Australia,2021,178.02521,178.0252,179.6332345788368,,,133.76375,,,1,BIS,
AUS,Australia,1990,28.4104,28.4104,27.6126567518353,,27.50906460953129,22.9336440702782,,,1,BIS,
AUS,Australia,2022,172.5522,172.5522,174.5781108308659,,,142.65002381061,,,1,BIS,
AUS,Australia,1871,.1453269,,,,.1292589036364811,,,,1.1243086,JST,
AUS,Australia,1987,19.1299,19.1299,18.60019239534851,,17.72791175384076,14.7789322108204,,,1,BIS,
AUS,Australia,2015,126.4279,126.4279,119.8338637308703,,122.5464409519578,100,,,1,BIS,
AUS,Australia,1935,.34036639,,,,.3027339645247369,,,,1.1243086,JST,
AUS,Australia,2013,109.0029,109.0029,104.3745899435097,,103.0615568405965,84.1064999999999,,,1,BIS,
AUS,Australia,1875,.17531498,,,,.1559313758154375,,,,1.1243086,JST,
AUS,Australia,1958,1.694741,,,,1.50736286502942,,,,1.1243086,JST,
AUS,Australia,1876,.16147432,,,,.1436210040405346,,,,1.1243086,JST,
AUS,Australia,1910,.20800169,,,,.1850040894317837,,,,1.1243086,JST,
AUS,Australia,2016,136.1084,136.1084,127.671264890494,,129.2864952043155,105.5,,,1,BIS,
AUS,Australia,2018,135.5276,135.5276,129.5914281745859,,138.0554512357043,112.66375,,,1,BIS,
AUS,Australia,1995,31.712601,31.7126,30.87248428498933,,30.73182501069176,25.6960428257686,,,1,BIS,
AUS,Australia,1897,.16493449,,,,.1466985969842603,,,,1.1243086,JST,
AUS,Australia,1973,5.3871002,5.3871,,,4.494758445513109,3.83718307899071,,,1,BIS,
AUS,Australia,1941,.42073071,,,,.3742128172597443,,,,1.1243086,JST,
AUS,Australia,2012,99.128799,99.1288,97.26214839115255,,96.65768536014544,78.8802499999999,,,1,BIS,
AUS,Australia,1901,.18909244,,,,.1681855358470761,,,,1.1243086,JST,
AUS,Australia,1964,2.3471098,,,,2.087602963701832,,,,1.1243086,JST,
AUS,Australia,1919,.3450937,,,,.3069386029209139,,,,1.1243086,JST,
AUS,Australia,1951,1.3023742,,,,1.158377878146737,,,,1.1243086,JST,
AUS,Australia,1952,1.2858286,,,,1.143661643760117,,,,1.1243086,JST,
AUS,Australia,2003,69.311401,69.31140000000001,68.16874635576521,,63.71967880406687,52.3756566617862,,,1,BIS,
AUS,Australia,1950,1.1156454,,,,.9922946614977489,,,,1.1243086,JST,
AUS,Australia,1989,28.1021,28.1021,27.32502491067826,,27.07784513443788,22.5876027086383,,,1,BIS,
AUS,Australia,1939,.38054854,,,,.3384733908922407,,,,1.1243086,JST,
AUS,Australia,1968,2.8174775,,,,2.505964484121434,,,,1.1243086,JST,
AUS,Australia,1909,.20563804,,,,.1829017702336953,,,,1.1243086,JST,
AUS,Australia,1945,.47982207,,,,.4267707972119555,,,,1.1243086,JST,
AUS,Australia,1920,.39000317,,,,.3468826676845944,,,,1.1243086,JST,
AUS,Australia,1982,12.7067,12.7067,11.81563282317948,,12.13038177297036,10.0550312282777,,,1,BIS,
AUS,Australia,1940,.39000317,,,,.3468826676845944,,,,1.1243086,JST,
AUS,Australia,1885,.21314612,,,,.1895797253335056,,,,1.1243086,JST,
AUS,Australia,1934,.31436619,,,,.279608453345764,,,,1.1243086,JST,
AUS,Australia,2010,100.2904,100.2904,100.0000034443459,,100.0000035376853,80.8769999999999,,,1,BIS,
AUS,Australia,1966,2.5362024,,,,2.255788499548909,,,,1.1243086,JST,
AUS,Australia,1969,3.0562065,,,,2.718298723128367,,,,1.1243086,JST,1
AUS,Australia,1930,.37582123,,,,.3342687524960638,,,,1.1243086,JST,
AUS,Australia,1925,.42309436,,,,.3763151364578328,,,,1.1243086,JST,
AUS,Australia,2017,142.8848,142.8848,135.1363894950362,,140.0705820080877,114.30825,,,1,BIS,
AUS,Australia,1905,.1701832,,,,.1513669822623685,,,,1.1243086,JST,
AUS,Australia,1959,1.7420142,,,,1.549409248991189,,,,1.1243086,JST,
AUS,Australia,1915,.26472941,,,,.2354597501859065,,,,1.1243086,JST,
AUS,Australia,1972,4.2779002,4.2779,,,3.73371889580509,3.18366717734073,,,1,BIS,
AUS,Australia,1926,.42782167,,,,.3805197748540097,,,,1.1243086,JST,
AUS,Australia,1886,.22583337,,,,.2008642327938333,,,,1.1243086,JST,
AUS,Australia,1993,30.584299,30.5843,29.81783420074004,,29.17774279603359,24.5115926793557,,,1,BIS,
AUS,Australia,1911,.22218363,,,,.1976180046203144,,,,1.1243086,JST,
AUS,Australia,1931,.3238208,,,,.2880177301381178,,,,1.1243086,JST,
AUS,Australia,1992,29.792999,29.793,28.95493867725476,,28.38160236006381,23.8887182284041,,,1,BIS,
AUS,Australia,1963,2.2525637,,,,2.003510195778294,,,,1.1243086,JST,
AUS,Australia,1985,16.994101,16.9941,15.94278939872526,,15.74426847448441,13.0619823709886,,,1,BIS,
AUS,Australia,1932,.30963889,,,,.2754038149495871,,,,1.1243086,JST,
AUS,Australia,1923,.42309436,,,,.3763151364578328,,,,1.1243086,JST,
AUS,Australia,1888,.26389518,,,,.2347177551748165,,,,1.1243086,JST,
AUS,Australia,1953,1.2692829,,,,1.128945409373498,,,,1.1243086,JST,
AUS,Australia,1937,.36400294,,,,.3237571565056215,,,,1.1243086,JST,
AUS,Australia,1983,14.0288,14.0288,12.90325126908584,,12.77158912838734,10.6296361962251,,,1,BIS,
AUS,Australia,1892,.20553376,,,,.182809020857309,,,,1.1243086,JST,
AUS,Australia,1960,1.9878343,,,,1.768050445592388,,,,1.1243086,JST,
AUS,Australia,2008,84.0271,84.0271,83.89262033925013,,86.25337232360998,69.6027499999999,,,1,BIS,
AUS,Australia,1938,.37109393,,,,.3300641140998868,,,,1.1243086,JST,
AUS,Australia,2004,69.506302,69.5063,68.3605009165162,,67.8706223471406,55.6469999999999,,,1,BIS,
AUS,Australia,1903,.17963782,,,,.1597762590547223,,,,1.1243086,JST,
AUS,Australia,1991,29.5959,29.5959,28.76318411648684,,27.68196379512069,23.5288352122987,,,1,BIS,
AUS,Australia,1981,12.7384,12.7384,11.76832082730321,,11.4681512255725,9.707711977826021,,,1,BIS,
AUS,Australia,1933,.2978206,,,,.2648922189591449,,,,1.1243086,JST,
AUS,Australia,1917,.28363866,,,,.2522783037706142,,,,1.1243086,JST,
AUS,Australia,1924,.42309436,,,,.3763151364578328,,,,1.1243086,JST,
AUS,Australia,1908,.20327438,,,,.1807994510356068,,,,1.1243086,JST,
AUS,Australia,1922,.41836703,,,,.3721104980616559,,,,1.1243086,JST,
AUS,Australia,1978,8.4510002,8.451000000000001,7.429245046943467,,7.921538738397285,6.5901743857713,,,1,BIS,
AUS,Australia,1899,.15224724,,,,.1354140895239326,,,,1.1243086,JST,
AUS,Australia,1878,.18223532,,,,.162086561702889,,,,1.1243086,JST,
AUS,Australia,1918,.30491155,,,,.2711991765534102,,,,1.1243086,JST,
AUS,Australia,1984,15.4273,15.4273,14.38307775343231,,14.40719346450016,11.8538670902173,,,1,BIS,
AUS,Australia,1879,.18684886,,,,.16619001896119,,,,1.1243086,JST,
AUS,Australia,1890,.25374538,,,,.2256901492065543,,,,1.1243086,JST,
AUS,Australia,1906,.17963782,,,,.1597762590547223,,,,1.1243086,JST,
AUS,Australia,1900,.17254685,,,,.153469301460457,,,,1.1243086,JST,
AUS,Australia,1904,.17254685,,,,.153469301460457,,,,1.1243086,JST,
AUS,Australia,1956,1.4867393,,,,1.322358775597636,,,,1.1243086,JST,
AUS,Australia,1943,.47982207,,,,.4267707972119555,,,,1.1243086,JST,
AUS,Australia,1882,.18523413,,,,.1647538089207846,,,,1.1243086,JST,
AUS,Australia,1967,2.6307485,,,,2.339881267472447,,,,1.1243086,JST,
AUS,Australia,2011,96.224602,96.2246,95.40076561575675,,97.41240236797699,79.1347499999999,,,1,BIS,
AUS,Australia,1986,17.550301,17.5503,17.06615590913878,,16.88372547984835,13.9702528799424,,,1,BIS,
AUS,Australia,1928,.44673091,,,,.3973383284387173,,,,1.1243086,JST,
AUS,Australia,1907,.19381976,,,,.172390174243253,,,,1.1243086,JST,
AUS,Australia,2006,77.250702,77.25069999999999,76.70182431021031,,74.23180855600681,60.5794999999999,,,1,BIS,
AUS,Australia,1954,1.3071015,,,,1.162582516542914,,,,1.1243086,JST,
AUS,Australia,1884,.2029963,,,,.1805521193652435,,,,1.1243086,JST,
